1 0  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293283 -2.218226 -2.1229811 -2.122981 -0.9152067 -0.91520636 -0.49702922 3.2811514 3.2811518 3.3520068 3.3520069 5.4095508 5.4373954 6.5457664 6.9763717 7.8576599 9.188335
2 0.0083287671  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293283 -2.218226 -2.1229811 -2.122981 -0.9152067 -0.91520636 -0.49702924 3.2811514 3.2811518 3.3520068 3.3520069 5.4017264 5.446092 6.5408149 6.9816452 7.8575145 9.188336
3 0.016657534  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293283 -2.218226 -2.1229811 -2.122981 -0.9152067 -0.91520636 -0.4970293 3.2811514 3.2811518 3.3520068 3.3520069 5.3882419 5.4621293 6.5269836 6.9964097 7.8570855 9.1883388
4 0.024986301  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293283 -2.218226 -2.1229811 -2.122981 -0.9152067 -0.91520636 -0.4970294 3.2811514 3.2811518 3.3520068 3.3520069 5.3748016 5.4796104 6.5067751 7.0180678 7.8563964 9.1883441
5 0.033315069  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182259 -2.1229811 -2.122981 -0.9152067 -0.91520635 -0.49702951 3.2811514 3.2811518 3.3520068 3.3520069 5.3625287 5.4970931 6.4831109 7.0435503 7.8554897 9.1883531
6 0.041643836  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182259 -2.1229811 -2.122981 -0.91520669 -0.91520635 -0.49702963 3.2811514 3.2811518 3.3520068 3.3520069 5.3518097 5.5137509 6.4586515 7.0700114 7.8544308 9.1883672
7 0.049972603  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182259 -2.1229811 -2.122981 -0.91520669 -0.91520634 -0.49702976 3.2811514 3.2811518 3.3520068 3.3520069 5.3428467 5.5288373 6.4356037 7.0950422 7.8533104 9.188389
8 0.05830137  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182258 -2.1229811 -2.122981 -0.91520668 -0.91520634 -0.49702987 3.2811514 3.2811518 3.3520068 3.3520069 5.335767 5.5416115 6.41575 7.1166643 7.8522422 9.1884227
9 0.066630137  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182258 -2.1229811 -2.122981 -0.91520668 -0.91520634 -0.49702997 3.2811514 3.2811518 3.3520068 3.3520069 5.3306556 5.5513653 6.4005023 7.1332987 7.8513525 9.1884705
10 0.074958904  -60.620011 -34.869878 -34.461529 -34.461529 -14.367514 -13.155688 -5.8293282 -2.2182258 -2.1229811 -2.122981 -0.91520668 -0.91520634 -0.49703003 3.2811514 3.2811518 3.3520068 3.3520069 5.3275679 5.5574946 6.3909124 7.1437698 7.8507603 9.188526
