lat_cons(A)        PBE E_tot(eV)           
2.50               -2419.46362530          
2.80               -2423.42485750          
2.90               -2423.92140360          
3.00               -2424.12582970          
3.01               -2424.13277800          
3.02               -2424.13751340          
3.03               -2424.14009240          
3.04               -2424.14057000          
3.05               -2424.13900040          
3.06               -2424.13543660          
3.07               -2424.12993050          
3.08               -2424.12253310          
3.09               -2424.11329400          
3.10               -2424.10226170          
3.20               -2423.90333700          
3.30               -2423.57158420          
