lat_cons(A)        PBE E_tot(eV)           
2.50               -2422.56186490          
2.80               -2425.02430760          
2.90               -2425.49458230          
3.00               -2425.82015340          
3.10               -2426.01719750          
3.20               -2426.10068260          
3.25               -2426.10420030          
3.30               -2426.08443550          
3.40               -2425.98126330          
3.50               -2425.80300830          
3.60               -2425.56063480          
3.70               -2425.26425410          
3.80               -2424.92318910          
3.90               -2424.54600380          
4.00               -2424.14057140          
5.00               -2420.14173400          
